checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,class
no checking,critical/other existing credit,furniture/equipment,no known savings,unemployed,male single,none,real estate,none,own,skilled,yes,yes,47,13279,3,1,48,4,1,bad
no checking,critical/other existing credit,education,no known savings,1<=X<4,female div/sep/mar,none,car,none,for free,skilled,none,yes,41,3222,4,3,74,3,2,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,no known property,none,own,unskilled resident,none,yes,65,11390,2,2,27,4,1,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,no known property,bank,own,skilled,yes,yes,25,18261,3,3,45,3,1,good
no checking,critical/other existing credit,business,<100,>=7,female div/sep/mar,none,life insurance,stores,for free,skilled,none,yes,43,15097,2,1,46,2,1,good
<0,no credits/all paid,new car,<100,<1,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,29,14673,4,3,60,1,1,bad
<0,no credits/all paid,furniture/equipment,<100,<1,male single,co applicant,car,none,own,skilled,yes,yes,8,1738,3,1,44,2,1,good
no checking,existing paid,new car,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes,57,9377,4,4,36,3,1,good
no checking,existing paid,radio/tv,100<=X<500,<1,male mar/wid,none,no known property,none,for free,unskilled resident,yes,yes,52,10156,4,2,54,3,1,good
<0,critical/other existing credit,business,no known savings,1<=X<4,male single,co applicant,real estate,none,rent,unskilled resident,yes,yes,6,2052,3,4,26,4,1,bad
<0,delayed previously,used car,no known savings,4<=X<7,male single,none,real estate,bank,own,skilled,yes,yes,41,15877,4,4,36,4,1,bad
no checking,existing paid,education,500<=X<1000,1<=X<4,male single,none,life insurance,bank,own,unskilled resident,none,yes,17,3770,3,1,38,1,2,good
<0,existing paid,used car,<100,<1,male single,none,life insurance,none,own,unskilled resident,none,yes,50,6146,4,1,50,3,1,bad
<0,critical/other existing credit,business,100<=X<500,unemployed,female div/sep/mar,none,car,bank,own,skilled,none,yes,17,15494,1,1,47,3,1,bad
>=200,existing paid,radio/tv,<100,<1,male mar/wid,none,life insurance,bank,for free,high qualif/self emp/mgmt,none,yes,41,3561,2,1,67,2,1,good
no checking,existing paid,repairs,100<=X<500,4<=X<7,female div/sep/mar,none,real estate,none,for free,skilled,yes,yes,67,8259,1,4,66,1,1,good
no checking,existing paid,new car,<100,1<=X<4,female div/sep/mar,none,real estate,bank,rent,unskilled resident,yes,no,47,12156,4,1,36,2,2,good
<0,critical/other existing credit,business,100<=X<500,1<=X<4,male single,none,life insurance,none,own,skilled,none,no,68,12477,4,1,25,4,1,bad
no checking,delayed previously,radio/tv,<100,4<=X<7,male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,28,5712,4,4,19,4,1,good
<0,existing paid,used car,<100,>=7,male single,none,car,none,own,skilled,none,yes,19,13310,1,2,46,2,1,bad
0<=X<200,all paid,education,<100,unemployed,male single,none,car,none,own,skilled,none,yes,18,3708,4,2,51,4,1,good
no checking,delayed previously,used car,<100,1<=X<4,male single,none,car,none,for free,skilled,yes,yes,6,3980,3,3,68,2,2,good
no checking,delayed previously,vacation,500<=X<1000,4<=X<7,female div/sep/mar,none,no known property,none,own,skilled,none,yes,70,7797,2,4,22,3,1,good
no checking,existing paid,new car,500<=X<1000,1<=X<4,female div/sep/mar,none,no known property,none,rent,unskilled resident,none,yes,40,277,4,1,73,3,2,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/sep/mar,none,no known property,none,rent,skilled,none,yes,58,15758,4,3,38,4,1,bad
>=200,existing paid,radio/tv,<100,4<=X<7,male single,none,real estate,stores,own,skilled,none,yes,41,6673,2,2,71,1,1,good
<0,existing paid,new car,<100,>=7,female div/sep/mar,none,real estate,bank,own,high qualif/self emp/mgmt,yes,yes,66,12703,2,2,70,3,1,bad
0<=X<200,critical/other existing credit,used car,<100,>=7,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,4,17807,2,4,54,4,1,bad
<0,existing paid,new car,<100,4<=X<7,male single,none,no known property,none,for free,unemp/unskilled non res,none,yes,22,16972,1,1,75,1,1,good
<0,delayed previously,furniture/equipment,no known savings,4<=X<7,female div/sep/mar,none,no known property,none,for free,skilled,none,yes,55,9510,1,1,49,4,1,bad
no checking,existing paid,used car,<100,1<=X<4,male single,none,no known property,none,own,skilled,yes,yes,33,16111,4,3,56,2,1,good
0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,guarantor,real estate,bank,for free,skilled,yes,yes,58,17475,2,2,46,4,1,good
no checking,critical/other existing credit,used car,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,none,yes,17,12726,4,3,21,2,1,good
no checking,existing paid,used car,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,16,13188,4,3,24,3,2,good
no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,none,real estate,stores,own,skilled,yes,yes,30,16927,4,3,63,3,1,good
0<=X<200,existing paid,new car,100<=X<500,1<=X<4,male single,co applicant,life insurance,none,rent,skilled,yes,no,12,10299,1,1,41,4,1,good
>=200,existing paid,business,<100,1<=X<4,male single,none,real estate,none,for free,high qualif/self emp/mgmt,none,yes,44,18281,2,2,25,1,1,good
0<=X<200,no credits/all paid,education,<100,>=7,male single,none,car,none,own,skilled,yes,yes,51,5864,4,3,74,4,2,good
<0,delayed previously,radio/tv,<100,unemployed,male single,none,life insurance,bank,own,skilled,none,yes,15,11933,1,2,54,4,1,bad
no checking,existing paid,radio/tv,<100,1<=X<4,male div/sep,none,life insurance,none,own,skilled,none,no,13,11937,3,2,19,3,1,good
0<=X<200,critical/other existing credit,business,<100,unemployed,male single,none,car,none,rent,skilled,none,yes,9,4051,3,3,24,3,1,good
<0,existing paid,new car,no known savings,>=7,male single,none,no known property,none,rent,skilled,yes,yes,37,8530,4,3,42,4,1,good
no checking,critical/other existing credit,new car,100<=X<500,4<=X<7,male div/sep,none,car,none,own,skilled,none,yes,55,7626,4,4,55,3,1,good
<0,existing paid,used car,<100,1<=X<4,male single,none,life insurance,bank,own,skilled,none,no,44,10398,2,1,63,2,2,good
no checking,critical/other existing credit,domestic appliances,<100,4<=X<7,male mar/wid,co applicant,car,none,own,skilled,none,yes,9,14310,2,2,69,4,1,bad
no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,no known property,none,own,unskilled resident,yes,yes,5,17533,4,3,54,3,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,bank,own,skilled,none,yes,18,1994,1,3,42,4,2,good
0<=X<200,critical/other existing credit,other,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,none,yes,20,12103,4,2,56,3,1,good
<0,critical/other existing credit,education,500<=X<1000,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,19,14913,2,3,63,2,2,bad
no checking,delayed previously,radio/tv,<100,>=7,male single,none,real estate,none,for free,high qualif/self emp/mgmt,yes,yes,31,1883,2,4,47,2,2,good
0<=X<200,existing paid,new car,<100,1<=X<4,male single,none,car,stores,own,unskilled resident,none,yes,13,8399,1,2,55,4,1,good
no checking,no credits/all paid,education,<100,<1,male single,none,no known property,none,own,skilled,none,yes,13,14921,4,3,63,2,1,good
no checking,critical/other existing credit,radio/tv,no known savings,4<=X<7,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,13,4951,2,2,50,2,1,good
no checking,existing paid,new car,100<=X<500,>=7,male single,none,car,none,own,unemp/unskilled non res,yes,no,31,13599,4,3,43,3,1,good
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male single,none,no known property,none,rent,skilled,none,yes,27,1263,2,3,28,4,1,good
0<=X<200,existing paid,business,<100,<1,male mar/wid,none,no known property,none,own,skilled,yes,yes,22,16529,3,1,53,3,1,good
no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male single,none,real estate,bank,own,unskilled resident,yes,yes,71,3549,3,2,73,3,1,good
0<=X<200,existing paid,education,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,skilled,yes,yes,59,1756,3,1,43,1,1,good
<0,delayed previously,vacation,<100,<1,male single,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,70,5053,2,3,45,2,1,bad
>=200,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,own,unemp/unskilled non res,yes,yes,45,17611,1,2,63,3,1,good
no checking,existing paid,radio/tv,100<=X<500,>=7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,15,18451,3,2,50,3,1,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,rent,skilled,none,yes,21,15010,2,4,30,3,2,good
>=200,all paid,used car,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,26,11076,4,4,22,2,1,good
<0,existing paid,furniture/equipment,no known savings,1<=X<4,male single,none,life insurance,none,rent,unskilled resident,none,yes,9,14071,3,3,60,2,1,good
no checking,existing paid,radio/tv,<100,<1,female div/sep/mar,none,real estate,bank,own,skilled,none,no,56,13257,1,3,44,2,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,bank,own,skilled,none,yes,45,16036,1,3,21,4,1,good
<0,existing paid,business,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,69,9390,1,3,35,3,1,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,guarantor,real estate,bank,own,high qualif/self emp/mgmt,none,yes,33,7048,4,4,27,2,2,good
no checking,no credits/all paid,radio/tv,>=1000,4<=X<7,male mar/wid,none,car,none,own,skilled,yes,yes,12,17107,4,2,47,3,1,good
no checking,all paid,radio/tv,<100,1<=X<4,male single,none,real estate,bank,rent,unskilled resident,yes,yes,45,817,1,1,19,4,1,good
no checking,existing paid,radio/tv,<100,4<=X<7,female div/sep/mar,guarantor,real estate,none,own,skilled,yes,yes,37,11874,1,2,36,1,1,good
no checking,existing paid,radio/tv,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,43,12465,1,2,59,4,1,good
0<=X<200,existing paid,used car,100<=X<500,>=7,male single,none,life insurance,none,rent,skilled,yes,yes,20,8216,4,4,71,2,1,good
0<=X<200,existing paid,radio/tv,100<=X<500,>=7,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,32,8370,4,2,38,2,1,good
no checking,delayed previously,new car,<100,4<=X<7,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,53,16529,2,2,75,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,co applicant,no known property,bank,own,skilled,none,yes,52,11586,3,3,59,3,1,bad
no checking,critical/other existing credit,furniture/equipment,500<=X<1000,<1,female div/sep/mar,none,car,bank,own,high qualif/self emp/mgmt,none,yes,64,4560,4,1,52,2,1,good
no checking,no credits/all paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,49,13437,1,2,69,2,1,good
0<=X<200,existing paid,business,no known savings,4<=X<7,male single,none,life insurance,none,own,high qualif/self emp/mgmt,none,yes,49,14339,3,2,46,4,1,good
0<=X<200,existing paid,radio/tv,no known savings,4<=X<7,female div/sep/mar,none,no known property,none,own,skilled,none,yes,20,2232,4,1,66,3,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,69,1346,3,3,53,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,8,13832,2,4,34,4,1,bad
no checking,existing paid,radio/tv,<100,<1,male mar/wid,none,car,none,rent,skilled,yes,yes,57,6747,4,4,39,3,1,good
no checking,existing paid,new car,>=1000,1<=X<4,female div/sep/mar,none,car,bank,rent,skilled,yes,yes,19,13795,1,2,31,3,1,good
no checking,existing paid,used car,<100,<1,male mar/wid,none,car,none,own,skilled,none,yes,10,11832,1,3,53,1,1,good
0<=X<200,delayed previously,furniture/equipment,<100,4<=X<7,male single,none,real estate,none,for free,skilled,none,no,11,15628,2,4,60,4,1,good
0<=X<200,existing paid,furniture/equipment,no known savings,<1,female div/sep/mar,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,41,11114,2,4,72,3,1,good
<0,no credits/all paid,new car,no known savings,unemployed,male single,none,car,none,rent,skilled,none,yes,57,4529,2,4,50,2,1,good
>=200,existing paid,new car,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes,18,17307,2,4,68,1,2,good
<0,existing paid,used car,<100,4<=X<7,male single,none,life insurance,none,own,unskilled resident,none,yes,53,7562,2,4,56,4,2,bad
0<=X<200,all paid,business,<100,>=7,male mar/wid,none,car,none,own,skilled,yes,yes,59,15690,4,2,24,3,1,bad
>=200,existing paid,furniture/equipment,>=1000,4<=X<7,female div/sep/mar,none,life insurance,bank,own,unskilled resident,none,yes,12,2619,4,4,68,1,1,good
0<=X<200,no credits/all paid,furniture/equipment,no known savings,1<=X<4,female div/sep/mar,guarantor,no known property,bank,own,skilled,none,yes,11,16442,3,2,56,1,1,good
>=200,all paid,new car,<100,>=7,male single,none,no known property,none,own,unskilled resident,yes,yes,22,17700,2,1,56,2,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,car,none,own,skilled,none,yes,54,5682,1,1,72,1,1,bad
<0,existing paid,used car,no known savings,<1,female div/sep/mar,none,real estate,none,own,unemp/unskilled non res,none,yes,60,937,1,3,31,4,2,good
no checking,existing paid,new car,<100,1<=X<4,male div/sep,guarantor,real estate,bank,own,skilled,none,no,71,13425,2,2,64,3,1,good
0<=X<200,delayed previously,radio/tv,<100,>=7,male div/sep,none,life insurance,bank,own,skilled,yes,yes,34,318,2,3,71,1,1,good
<0,critical/other existing credit,new car,no known savings,1<=X<4,male single,none,real estate,none,for free,skilled,none,yes,6,10545,2,1,57,1,1,good
0<=X<200,existing paid,new car,<100,1<=X<4,female div/sep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes,46,7024,2,1,31,4,1,good
no checking,existing paid,new car,100<=X<500,<1,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,32,17053,2,1,65,2,1,good
<0,existing paid,new car,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,13,12440,1,1,30,2,1,good
no checking,delayed previously,new car,<100,1<=X<4,male single,none,life insurance,bank,for free,unskilled resident,yes,yes,15,11039,3,4,71,3,1,good
<0,delayed previously,furniture/equipment,>=1000,4<=X<7,male div/sep,none,car,none,rent,skilled,none,yes,49,7141,2,1,51,4,1,bad
<0,no credits/all paid,repairs,<100,<1,male single,none,real estate,none,own,high qualif/self emp/mgmt,none,yes,33,10566,2,4,46,2,1,bad
0<=X<200,critical/other existing credit,radio/tv,no known savings,>=7,male div/sep,none,life insurance,none,own,skilled,none,yes,35,689,2,4,75,3,1,bad
>=200,all paid,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,50,17842,4,3,21,3,2,good
no checking,existing paid,used car,<100,4<=X<7,male single,none,no known property,stores,own,high qualif/self emp/mgmt,none,yes,66,7716,1,4,36,2,1,good
no checking,delayed previously,business,<100,>=7,male single,none,real estate,bank,own,skilled,none,yes,29,17887,1,3,44,4,1,good
no checking,critical/other existing credit,furniture/equipment,<100,<1,male single,none,no known property,stores,rent,skilled,none,yes,6,3459,3,4,72,1,1,good
0<=X<200,critical/other existing credit,new car,<100,1<=X<4,male single,none,car,bank,own,high qualif/self emp/mgmt,yes,yes,26,3799,4,4,58,2,1,bad
0<=X<200,critical/other existing credit,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,53,17248,4,1,20,1,1,good
no checking,existing paid,new car,<100,>=7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,39,3328,4,2,22,1,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,16,3740,3,4,68,4,1,good
0<=X<200,all paid,furniture/equipment,500<=X<1000,1<=X<4,female div/sep/mar,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,32,3793,3,2,46,4,1,good
<0,critical/other existing credit,vacation,100<=X<500,>=7,male single,none,car,none,own,skilled,none,yes,41,7001,3,2,46,3,1,bad
<0,existing paid,furniture/equipment,500<=X<1000,<1,male mar/wid,none,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,8,15156,4,2,43,4,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male mar/wid,none,life insurance,none,own,unskilled resident,yes,yes,23,18346,1,4,44,3,2,bad
no checking,existing paid,other,<100,>=7,male single,none,real estate,none,own,skilled,yes,yes,17,14675,4,2,63,2,2,good
no checking,delayed previously,new car,100<=X<500,<1,male single,co applicant,no known property,none,rent,skilled,yes,yes,11,12061,3,4,65,1,2,good
0<=X<200,existing paid,used car,<100,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,51,17828,4,1,20,4,1,bad
<0,critical/other existing credit,furniture/equipment,<100,unemployed,male mar/wid,none,car,none,own,skilled,none,yes,16,7031,2,4,60,2,2,bad
<0,all paid,furniture/equipment,>=1000,1<=X<4,female div/sep/mar,none,life insurance,none,own,skilled,none,yes,27,18012,4,3,52,3,1,good
<0,all paid,furniture/equipment,>=1000,1<=X<4,male single,none,no known property,none,own,unskilled resident,yes,no,68,15813,4,1,48,4,1,good
>=200,existing paid,business,<100,4<=X<7,female div/sep/mar,none,real estate,bank,own,skilled,yes,yes,37,15047,1,2,39,1,1,good
no checking,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,car,none,own,skilled,none,no,54,17383,1,2,62,2,1,good
no checking,critical/other existing credit,radio/tv,>=1000,4<=X<7,male single,none,life insurance,stores,own,high qualif/self emp/mgmt,none,yes,6,550,1,3,55,4,1,good
0<=X<200,existing paid,used car,<100,1<=X<4,male mar/wid,none,car,none,own,unskilled resident,none,yes,61,4945,2,1,62,4,1,good
no checking,critical/other existing credit,education,>=1000,>=7,female div/sep/mar,none,real estate,bank,own,unskilled resident,yes,yes,58,12424,1,3,41,2,1,bad
no checking,existing paid,business,500<=X<1000,>=7,male single,none,real estate,none,for free,skilled,none,yes,45,16472,2,2,51,3,1,good
>=200,existing paid,education,>=1000,unemployed,female div/sep/mar,guarantor,real estate,bank,own,skilled,none,yes,24,16911,3,4,20,3,1,good
no checking,critical/other existing credit,new car,<100,>=7,female div/sep/mar,none,car,none,own,skilled,none,yes,13,11000,1,2,45,4,1,good
0<=X<200,delayed previously,radio/tv,<100,<1,male single,none,real estate,none,own,skilled,yes,yes,60,7557,4,3,66,3,1,good
<0,existing paid,new car,100<=X<500,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,28,14068,4,4,40,3,1,good
0<=X<200,existing paid,used car,100<=X<500,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,yes,yes,59,1639,2,4,52,2,2,good
no checking,critical/other existing credit,new car,500<=X<1000,<1,female div/sep/mar,none,no known property,none,own,skilled,none,no,41,9132,1,2,34,3,1,good
<0,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,none,no known property,none,own,unskilled resident,yes,yes,64,10290,4,4,38,3,1,good
<0,critical/other existing credit,radio/tv,<100,4<=X<7,female div/sep/mar,none,car,none,own,skilled,yes,yes,50,6391,3,1,44,2,1,bad
<0,critical/other existing credit,new car,no known savings,1<=X<4,male mar/wid,none,life insurance,none,own,unskilled resident,none,yes,57,13360,1,2,34,4,1,bad
<0,delayed previously,furniture/equipment,500<=X<1000,unemployed,male mar/wid,none,real estate,none,own,skilled,none,yes,49,6219,3,2,24,4,1,good
no checking,existing paid,furniture/equipment,no known savings,4<=X<7,female div/sep/mar,none,real estate,none,own,skilled,none,yes,71,13412,4,1,63,2,1,good
no checking,delayed previously,furniture/equipment,500<=X<1000,>=7,male single,none,real estate,none,for free,skilled,none,yes,7,9381,1,2,62,1,2,good
0<=X<200,all paid,new car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,69,5287,2,3,41,2,1,good
<0,no credits/all paid,furniture/equipment,100<=X<500,<1,male div/sep,none,car,none,own,high qualif/self emp/mgmt,none,yes,46,14943,4,3,60,1,1,bad
0<=X<200,existing paid,radio/tv,no known savings,1<=X<4,male single,none,no known property,none,own,unskilled resident,none,yes,65,2701,3,2,55,3,1,good
0<=X<200,existing paid,new car,<100,unemployed,male mar/wid,none,life insurance,none,own,skilled,none,yes,7,274,1,1,26,4,1,good
<0,critical/other existing credit,new car,100<=X<500,>=7,female div/sep/mar,none,car,bank,own,unskilled resident,none,yes,68,6212,3,4,24,1,1,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,female div/sep/mar,none,life insurance,none,own,skilled,yes,yes,65,2806,3,1,55,1,1,good
0<=X<200,critical/other existing credit,business,<100,4<=X<7,male mar/wid,none,car,none,rent,high qualif/self emp/mgmt,none,yes,5,16694,2,3,70,3,1,good
no checking,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,for free,skilled,yes,yes,12,7925,2,2,40,4,1,good
no checking,existing paid,radio/tv,<100,>=7,male div/sep,none,life insurance,none,own,skilled,yes,yes,60,16756,4,1,24,3,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,female div/sep/mar,guarantor,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,48,5866,2,4,72,4,1,bad
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,car,none,own,skilled,none,yes,21,10544,2,4,50,4,1,good
no checking,all paid,new car,<100,4<=X<7,male single,none,no known property,none,own,skilled,yes,yes,51,17820,4,4,35,3,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,life insurance,none,rent,skilled,none,yes,45,14260,4,4,56,1,1,bad
no checking,existing paid,business,<100,4<=X<7,male mar/wid,none,real estate,bank,own,skilled,none,yes,44,13644,4,1,35,2,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/sep/mar,none,life insurance,none,own,unskilled resident,none,yes,61,10172,4,4,55,4,1,good
<0,critical/other existing credit,vacation,<100,>=7,male single,none,car,none,own,skilled,none,yes,45,4339,3,3,41,4,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,co applicant,real estate,stores,rent,skilled,yes,yes,38,14698,3,4,67,2,1,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,guarantor,car,none,own,unskilled resident,none,yes,41,2722,4,3,67,2,1,good
<0,critical/other existing credit,business,100<=X<500,<1,female div/sep/mar,none,no known property,none,own,skilled,none,yes,70,10719,4,1,31,3,1,bad
>=200,existing paid,new car,<100,4<=X<7,male mar/wid,none,no known property,none,rent,skilled,yes,yes,44,7700,1,3,50,4,1,good
no checking,existing paid,radio/tv,no known savings,4<=X<7,male single,co applicant,real estate,bank,own,unskilled resident,yes,yes,53,3214,1,1,40,3,1,good
>=200,existing paid,new car,100<=X<500,<1,male single,none,no known property,bank,own,skilled,none,yes,48,8354,1,4,25,2,1,good
0<=X<200,critical/other existing credit,new car,>=1000,unemployed,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,22,17944,2,2,40,3,1,good
no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/sep/mar,none,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,20,2462,3,3,39,4,1,good
0<=X<200,delayed previously,used car,100<=X<500,>=7,male single,none,car,stores,own,high qualif/self emp/mgmt,yes,yes,68,9704,3,3,24,1,1,good
>=200,delayed previously,furniture/equipment,<100,1<=X<4,male single,none,no known property,none,own,high qualif/self emp/mgmt,none,yes,59,7042,1,2,32,1,1,good
no checking,critical/other existing credit,radio/tv,no known savings,<1,male single,none,life insurance,none,own,unemp/unskilled non res,none,yes,44,9804,1,1,34,4,1,bad
0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male mar/wid,none,life insurance,none,own,skilled,yes,yes,45,8953,3,1,21,3,1,good
no checking,critical/other existing credit,new car,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,9,13469,2,4,27,2,1,good
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,72,15649,1,3,65,2,2,good
<0,existing paid,furniture/equipment,<100,<1,male single,none,real estate,none,own,skilled,none,yes,43,18479,4,1,39,1,1,good
<0,existing paid,radio/tv,100<=X<500,<1,female div/sep/mar,none,no known property,bank,own,skilled,yes,yes,44,7910,1,4,68,3,1,bad
<0,critical/other existing credit,radio/tv,<100,<1,male single,none,car,bank,own,skilled,yes,yes,12,1952,3,1,48,2,1,bad
<0,existing paid,education,<100,1<=X<4,female div/sep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,11,17024,3,2,48,2,1,bad
<0,critical/other existing credit,radio/tv,<100,unemployed,male single,co applicant,real estate,none,rent,skilled,yes,yes,47,17288,1,2,60,4,2,bad
no checking,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,co applicant,car,none,own,skilled,none,yes,61,4521,1,2,60,3,1,good
<0,existing paid,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,yes,70,9205,4,4,50,3,2,good
0<=X<200,critical/other existing credit,used car,>=1000,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,16,11709,4,3,41,2,1,good
no checking,existing paid,used car,>=1000,1<=X<4,male single,none,car,bank,own,unskilled resident,yes,yes,22,6924,2,2,21,3,1,good
<0,existing paid,radio/tv,<100,>=7,female div/sep/mar,none,life insurance,stores,own,skilled,none,yes,52,17719,2,2,19,3,1,bad
no checking,existing paid,furniture/equipment,<100,<1,male single,guarantor,car,none,own,skilled,none,yes,33,5696,4,1,21,3,1,good
0<=X<200,existing paid,domestic appliances,100<=X<500,1<=X<4,female div/sep/mar,none,real estate,none,own,skilled,none,yes,69,2213,2,2,75,4,1,good
<0,existing paid,education,<100,<1,female div/sep/mar,none,life insurance,none,rent,skilled,none,yes,62,10227,2,3,55,2,1,good
no checking,existing paid,education,<100,<1,male single,none,real estate,bank,own,skilled,yes,yes,56,10716,1,4,25,1,1,good
no checking,critical/other existing credit,business,<100,4<=X<7,female div/sep/mar,none,no known property,none,own,skilled,yes,yes,55,5427,4,2,21,3,1,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,car,none,own,high qualif/self emp/mgmt,yes,yes,34,11410,1,4,54,2,1,good
no checking,delayed previously,used car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,18,4822,1,4,67,1,1,good
no checking,existing paid,radio/tv,no known savings,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,23,7793,2,3,21,4,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,real estate,none,for free,unskilled resident,none,yes,8,9157,1,1,73,2,1,good
<0,existing paid,radio/tv,<100,unemployed,male mar/wid,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,10,16876,3,1,22,4,1,good
no checking,critical/other existing credit,radio/tv,<100,<1,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,21,6760,2,4,49,2,1,good
no checking,existing paid,radio/tv,100<=X<500,unemployed,male single,none,life insurance,bank,own,high qualif/self emp/mgmt,none,yes,59,17471,3,2,20,4,2,good
no checking,existing paid,furniture/equipment,<100,<1,female div/sep/mar,none,car,none,for free,high qualif/self emp/mgmt,none,yes,48,3573,2,4,32,2,1,good
0<=X<200,all paid,new car,no known savings,1<=X<4,male single,none,real estate,bank,for free,skilled,none,yes,31,9787,1,1,55,4,1,good
0<=X<200,existing paid,furniture/equipment,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,53,10865,2,2,49,1,1,good
no checking,existing paid,new car,<100,unemployed,male single,none,car,none,own,skilled,yes,yes,5,1682,3,1,71,2,1,good
