hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
City Hotel,1,314,2016,September,39,10,0,5,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,Non Refund,2,Transient-Party,94.0608018568732,0,0,Check-Out
Resort Hotel,0,544,2016,February,26,9,2,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,C,0,No Deposit,1,Transient,125.86662300775161,0,0,Check-Out
City Hotel,0,98,2016,October,41,15,3,4,1,0,0,HB,USA,Online TA,TA/TO,0,0,0,G,A,0,No Deposit,1,Transient,94.23981080670814,0,0,Check-Out
City Hotel,0,594,2015,August,10,3,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,1,Non Refund,2,Transient,57.51739218063541,0,1,Check-Out
Resort Hotel,0,304,2016,October,48,3,0,1,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,50.737870877811474,0,0,Check-Out
City Hotel,0,419,2017,November,29,8,0,3,3,0,0,BB,Other,Offline TA/TO,TA/TO,1,0,0,A,E,0,No Deposit,0,Transient,115.34290659063379,0,0,Check-Out
City Hotel,1,599,2015,April,18,15,1,3,1,0,0,HB,PRT,Direct,TA/TO,0,0,0,A,E,0,No Deposit,2,Transient-Party,47.291849517408735,0,1,Check-Out
City Hotel,0,606,2016,November,3,15,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,44.42343422603749,0,3,Check-Out
City Hotel,0,339,2017,January,44,14,2,1,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,114.6255767183606,0,0,Check-Out
City Hotel,0,312,2015,January,33,21,0,3,2,1,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,Non Refund,2,Transient,74.65445909242113,0,3,Check-Out
City Hotel,0,366,2017,December,43,25,1,2,1,0,0,SC,Other,Direct,TA/TO,0,0,1,A,A,1,No Deposit,1,Transient,58.45220620445671,0,0,Check-Out
City Hotel,0,6,2015,December,28,12,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,122.55492071673578,0,1,Canceled
City Hotel,0,633,2016,March,46,4,0,3,2,0,0,BB,PRT,Corporate,TA/TO,0,0,0,C,A,0,No Deposit,2,Transient,116.64694192354008,0,0,Check-Out
City Hotel,0,676,2017,August,15,24,0,6,2,0,0,BB,Other,Online TA,Direct,0,0,0,A,A,0,No Deposit,1,Transient-Party,105.620286050106,0,0,Check-Out
City Hotel,1,737,2016,October,45,24,1,2,1,1,0,BB,DEU,Corporate,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient,86.22084191717978,0,1,Canceled
Resort Hotel,0,295,2016,February,7,13,1,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,B,A,1,No Deposit,1,Transient,117.35633680957626,0,0,Check-Out
City Hotel,0,41,2017,February,51,13,0,3,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,144.496835286195,2,0,Check-Out
City Hotel,1,567,2016,November,4,1,0,3,2,1,1,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2,Transient,137.86306627223775,0,0,Check-Out
Resort Hotel,0,113,2016,April,13,25,1,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,D,2,No Deposit,0,Contract,78.6492570963594,1,1,Canceled
City Hotel,0,314,2017,September,30,18,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,B,K,1,No Deposit,0,Transient-Party,181.17146717179713,1,0,Canceled
City Hotel,0,668,2016,November,25,8,0,5,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,1,Transient,25.446404609036264,0,0,Check-Out
City Hotel,0,464,2016,May,24,23,0,2,3,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,A,0,No Deposit,1,Transient,110.49850266223449,1,0,Check-Out
City Hotel,0,633,2017,March,27,16,1,3,1,0,0,BB,BRA,Groups,TA/TO,1,0,1,E,E,1,No Deposit,2,Transient-Party,45.33889175513196,0,0,Check-Out
City Hotel,1,490,2016,November,51,17,2,1,2,0,0,BB,PRT,Corporate,TA/TO,0,0,1,A,A,0,No Deposit,2,Contract,90.66533863568247,0,2,Canceled
Resort Hotel,1,194,2016,May,34,30,5,4,2,1,0,BB,PRT,Online TA,Direct,0,0,1,E,A,1,No Deposit,2,Transient,31.880564405527963,0,1,Check-Out
City Hotel,0,732,2016,November,38,20,2,3,1,0,0,BB,USA,Direct,TA/TO,0,0,1,E,D,1,No Deposit,2,Transient,74.02966877149342,0,0,Check-Out
Resort Hotel,0,161,2015,April,33,31,3,2,2,0,0,BB,Other,Corporate,TA/TO,0,0,1,A,D,0,No Deposit,1,Transient,94.96075257830108,0,1,Check-Out
City Hotel,1,311,2015,November,47,4,1,8,1,0,0,BB,FRA,Online TA,Corporate,0,1,0,E,A,0,No Deposit,2,Transient,15.249602659344973,0,1,Check-Out
City Hotel,1,638,2017,February,44,13,1,5,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,3,Transient-Party,11.331069599106655,0,0,Check-Out
City Hotel,1,286,2015,August,9,1,0,3,1,0,0,BB,PRT,Offline TA/TO,Direct,0,0,0,B,A,1,No Deposit,0,Transient,115.10493071729768,0,0,Check-Out
City Hotel,0,127,2015,May,48,9,1,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,E,0,No Deposit,1,Transient,153.6450454372602,0,0,Check-Out
Resort Hotel,1,106,2015,March,17,7,0,3,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,3,Transient,92.6113650073213,0,0,Check-Out
Resort Hotel,1,148,2017,August,16,18,4,7,2,0,0,BB,Other,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,66.99068639853144,0,2,Check-Out
City Hotel,1,730,2016,January,7,31,2,3,1,0,0,BB,ESP,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,1,Transient,84.51487819861192,0,1,Canceled
City Hotel,0,629,2016,October,26,20,1,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,1,No Deposit,1,Transient,110.86808224140407,0,0,Check-Out
City Hotel,0,62,2015,February,28,19,1,3,1,0,0,SC,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,0,Transient,153.50336236147837,0,1,Check-Out
City Hotel,0,137,2015,June,35,1,2,4,2,0,0,BB,Other,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,1,Transient-Party,112.98647335806282,0,4,Check-Out
City Hotel,0,31,2017,April,51,25,2,2,1,2,0,HB,PRT,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,0,Transient,136.24799033927937,0,1,Canceled
City Hotel,1,537,2015,September,39,4,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,1,F,F,1,Non Refund,3,Transient-Party,123.0562877955573,0,2,Canceled
Resort Hotel,0,340,2016,June,16,27,2,3,1,0,0,HB,PRT,Online TA,TA/TO,1,0,0,D,F,1,No Deposit,0,Transient-Party,134.12079432248925,0,1,Check-Out
Resort Hotel,0,219,2015,March,4,25,0,0,3,0,0,BB,PRT,Direct,TA/TO,0,0,0,F,A,0,No Deposit,0,Transient,24.496293159516142,0,4,Canceled
City Hotel,0,98,2016,March,18,1,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,E,0,No Deposit,1,Transient,10.77855019791592,0,0,Check-Out
Resort Hotel,1,195,2015,April,9,30,1,1,3,1,0,BB,PRT,Online TA,TA/TO,0,0,0,E,G,0,No Deposit,1,Transient-Party,91.8491154466701,0,1,Canceled
City Hotel,0,666,2015,October,30,9,0,3,2,0,0,BB,Other,Direct,TA/TO,0,1,0,D,A,0,No Deposit,1,Transient,106.69249522416095,0,1,Canceled
City Hotel,1,314,2016,February,3,31,0,3,2,0,0,BB,ITA,Direct,TA/TO,0,0,0,G,A,1,No Deposit,3,Transient-Party,58.1687773504625,0,0,Check-Out
Resort Hotel,0,172,2016,May,27,19,1,2,2,2,0,BB,GBR,Online TA,TA/TO,0,0,0,G,F,0,No Deposit,0,Transient-Party,155.21854468339706,1,0,Check-Out
City Hotel,0,611,2016,May,1,13,1,4,1,0,0,BB,Other,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,83.68726904966358,0,1,Canceled
City Hotel,1,686,2015,February,3,16,1,1,2,0,0,BB,FRA,Groups,TA/TO,0,0,0,A,F,0,No Deposit,1,Transient,126.03718557731092,0,0,Check-Out
City Hotel,0,167,2017,February,50,26,1,4,1,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,1,A,D,0,No Deposit,1,Contract,34.96833372875241,0,1,Check-Out
City Hotel,0,158,2017,November,45,31,1,4,2,0,0,SC,PRT,Groups,TA/TO,0,0,0,A,D,1,No Deposit,1,Transient,179.9193475114722,0,0,Check-Out
City Hotel,1,376,2017,March,37,10,0,3,4,2,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,1,No Deposit,1,Transient,136.78720376985586,0,0,Canceled
City Hotel,1,98,2015,January,34,29,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,1,Non Refund,2,Transient-Party,141.18385920141986,0,0,Canceled
Resort Hotel,0,204,2017,February,9,13,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,133.61615952644934,0,0,Check-Out
Resort Hotel,0,731,2016,June,25,22,0,6,2,0,0,BB,PRT,Online TA,Direct,0,0,0,D,E,0,No Deposit,0,Transient,11.168090450502646,0,1,Check-Out
Resort Hotel,0,183,2016,June,20,19,1,5,1,0,0,BB,GBR,Groups,TA/TO,0,0,0,D,A,1,No Deposit,1,Transient,205.1546661424864,0,0,Canceled
City Hotel,1,439,2015,August,40,6,1,0,3,0,0,BB,DEU,Groups,Direct,0,0,1,A,E,0,No Deposit,1,Group,80.92962649189552,0,2,Check-Out
City Hotel,0,61,2016,April,26,4,1,1,1,1,0,SC,ITA,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient-Party,156.18323406257593,0,0,Check-Out
Resort Hotel,0,318,2015,February,3,31,1,4,3,0,0,BB,BRA,Online TA,TA/TO,0,1,2,A,B,1,No Deposit,1,Transient,35.37601060776558,0,0,Check-Out
City Hotel,0,46,2016,October,40,31,0,3,2,0,0,BB,DEU,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,2,Transient-Party,120.3860941700245,1,0,Check-Out
City Hotel,0,254,2017,March,48,23,2,2,3,2,0,BB,ITA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,1,Transient,154.66127885591806,0,1,Check-Out
City Hotel,0,260,2016,January,9,15,2,1,1,0,0,HB,BRA,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,0,Transient,188.57017497530188,0,0,Check-Out
City Hotel,0,620,2016,July,29,29,3,2,1,0,0,BB,ESP,Direct,Corporate,0,0,0,A,E,0,No Deposit,2,Transient-Party,80.38935360788102,0,0,Canceled
Resort Hotel,0,140,2016,November,24,3,0,3,2,0,1,BB,GBR,Online TA,TA/TO,0,0,0,B,A,0,No Deposit,0,Transient,172.75757862773344,0,0,Check-Out
City Hotel,0,439,2016,April,6,30,1,3,1,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,1,E,E,0,No Deposit,2,Transient,85.8007131522542,0,0,Check-Out
City Hotel,0,669,2016,December,50,12,2,1,2,0,1,BB,FRA,Online TA,TA/TO,0,0,0,E,D,0,No Deposit,1,Transient,123.43444881307913,0,0,Check-Out
City Hotel,1,734,2015,August,53,31,1,3,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,D,1,No Deposit,1,Transient,69.09711906269759,0,1,Canceled
City Hotel,0,286,2016,February,10,15,1,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,2,Transient-Party,168.94907205181417,0,1,Canceled
City Hotel,0,377,2015,September,40,3,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,2,Transient,155.22429114350723,0,0,No-Show
City Hotel,0,179,2017,August,40,14,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,F,1,No Deposit,2,Transient,43.68179798968581,1,1,Canceled
Resort Hotel,0,385,2016,November,26,21,2,5,2,0,0,BB,Other,Offline TA/TO,TA/TO,0,0,1,A,D,0,No Deposit,2,Transient,77.80763201639937,0,0,Canceled
City Hotel,0,467,2015,November,33,20,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,E,0,No Deposit,0,Transient,116.1605948116015,0,0,Check-Out
Resort Hotel,0,313,2015,October,6,4,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,2,D,A,0,No Deposit,2,Transient,163.57202560470213,0,1,Check-Out
City Hotel,1,292,2015,November,8,3,1,2,1,0,0,BB,Other,Groups,TA/TO,0,0,0,B,A,0,No Deposit,1,Transient,122.43876754275213,0,1,Check-Out
City Hotel,0,38,2016,March,20,14,0,1,3,0,0,BB,ITA,Groups,Direct,0,0,1,A,D,0,No Deposit,1,Transient-Party,91.02340118614526,0,0,Canceled
City Hotel,0,536,2017,March,22,11,2,3,1,0,0,BB,ITA,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.88841653677389,0,1,Check-Out
City Hotel,0,636,2016,July,22,21,1,1,1,0,0,SC,PRT,Online TA,TA/TO,0,1,0,C,B,0,No Deposit,0,Transient-Party,163.55853208884446,0,2,Canceled
City Hotel,0,392,2016,December,31,10,1,3,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,0,Transient,52.57381111453488,1,0,Canceled
City Hotel,0,648,2017,March,35,29,2,4,1,0,0,BB,FRA,Corporate,Direct,0,0,0,A,D,0,No Deposit,1,Transient,130.77807952353982,0,1,Check-Out
City Hotel,0,273,2017,July,16,9,2,9,1,0,0,BB,Other,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,192.50001090935618,0,0,Check-Out
City Hotel,0,176,2016,November,4,23,1,5,1,0,0,BB,ITA,Online TA,TA/TO,0,1,1,A,B,0,No Deposit,0,Transient,113.84212726864479,0,0,Check-Out
City Hotel,0,574,2016,February,24,22,0,2,2,3,0,BB,Other,Online TA,Corporate,0,0,1,F,A,0,No Deposit,0,Transient-Party,150.85758248405955,0,0,Check-Out
City Hotel,0,431,2017,February,24,21,0,8,2,0,0,SC,PRT,Groups,Corporate,0,0,0,E,A,0,No Deposit,1,Transient,70.88035024151061,0,0,Check-Out
Resort Hotel,0,124,2017,December,39,27,0,2,1,0,0,BB,ESP,Groups,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient,104.08648941919003,0,2,Check-Out
Resort Hotel,1,504,2016,April,21,9,1,3,1,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,127.28659200255527,0,0,Check-Out
City Hotel,0,416,2017,September,16,9,0,4,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,154.98124969155995,0,4,Check-Out
Resort Hotel,1,252,2015,June,40,19,1,3,1,0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,36.494438598345894,0,0,Check-Out
City Hotel,0,259,2016,June,17,21,0,3,1,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient-Party,171.878875466267,0,0,No-Show
City Hotel,1,54,2016,January,11,7,0,4,2,1,0,HB,PRT,Groups,Direct,0,0,1,D,A,0,No Deposit,1,Transient,4.980145263309154,0,0,Check-Out
City Hotel,0,401,2016,August,9,1,1,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient,54.85815619558457,0,1,Check-Out
Resort Hotel,0,478,2016,January,13,5,0,2,1,0,0,BB,Other,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,4,Transient,74.59315828274279,0,1,Check-Out
Resort Hotel,1,717,2017,March,8,30,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,2,Transient,111.95161083701618,0,1,Check-Out
City Hotel,0,670,2015,December,32,22,1,2,1,0,0,BB,Other,Online TA,Direct,0,1,1,F,A,0,No Deposit,0,Transient,117.47695732377531,0,1,Check-Out
City Hotel,0,194,2016,January,5,23,1,0,2,0,0,BB,FRA,Online TA,TA/TO,0,1,0,D,A,0,No Deposit,2,Transient,84.86374863549882,1,0,Check-Out
City Hotel,0,387,2016,January,35,22,1,1,1,0,0,SC,BRA,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,1,Transient,87.72835097837144,0,0,Canceled
Resort Hotel,0,45,2016,July,52,6,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,D,0,No Deposit,2,Transient-Party,75.05648239619532,0,1,Canceled
City Hotel,0,723,2016,May,30,28,0,2,4,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,1,A,D,0,No Deposit,1,Transient,88.02652749204728,0,0,Check-Out
City Hotel,1,675,2015,December,34,2,1,2,1,0,0,HB,USA,Online TA,TA/TO,0,0,0,C,E,0,No Deposit,0,Transient,141.8895201176524,0,2,Check-Out
Resort Hotel,1,121,2017,May,2,31,2,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,1,Contract,111.60675474879457,0,0,Check-Out
City Hotel,0,150,2017,January,15,30,1,4,3,0,0,BB,Other,Direct,TA/TO,0,0,0,G,B,1,No Deposit,1,Transient,126.84765844418462,0,1,Check-Out
Resort Hotel,0,494,2016,July,12,30,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,2,Transient,48.8095462518143,0,0,Check-Out
City Hotel,0,613,2016,April,17,11,2,3,1,1,0,BB,FRA,Offline TA/TO,Direct,0,0,0,D,D,0,Non Refund,2,Transient,52.12955432507271,0,1,Check-Out
Resort Hotel,0,573,2016,February,3,5,0,0,3,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,146.9405097243519,0,0,Check-Out
City Hotel,0,485,2016,March,48,31,0,1,2,2,0,BB,FRA,Online TA,TA/TO,0,0,0,E,B,0,No Deposit,0,Transient,135.8110668310356,0,0,Canceled
City Hotel,0,353,2015,January,41,9,0,7,1,0,0,BB,PRT,Corporate,Direct,0,0,0,A,D,0,No Deposit,2,Transient,64.54758380008042,0,1,Check-Out
City Hotel,0,666,2016,October,29,18,0,2,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient,13.491037536954352,0,1,Check-Out
City Hotel,0,131,2017,September,4,15,0,2,3,0,0,HB,PRT,Offline TA/TO,GDS,0,0,1,D,D,0,No Deposit,0,Transient-Party,201.83088208098155,0,2,Check-Out
Resort Hotel,0,658,2015,February,44,29,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,1,0,D,B,1,No Deposit,2,Transient,133.6978490313162,0,1,Check-Out
City Hotel,0,537,2016,January,30,24,0,2,1,3,0,BB,USA,Direct,Corporate,0,0,0,E,D,0,No Deposit,2,Transient,126.57169993943171,0,0,Canceled
City Hotel,1,284,2016,March,41,24,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,1,No Deposit,1,Transient,5.188017124328653,2,0,Check-Out
City Hotel,0,235,2017,January,13,10,0,3,4,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,E,1,No Deposit,0,Transient,83.370301525912,0,0,Canceled
City Hotel,0,6,2015,August,48,10,0,4,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,G,A,0,No Deposit,1,Transient,67.70260079824362,0,0,Check-Out
Resort Hotel,1,672,2016,March,2,31,3,3,1,0,0,BB,GBR,Direct,TA/TO,0,1,0,G,F,0,No Deposit,1,Transient-Party,56.02915509364826,1,0,Check-Out
City Hotel,1,468,2015,August,21,16,2,4,4,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,1,Transient-Party,117.09102077264946,0,1,Check-Out
Resort Hotel,0,104,2016,November,5,25,2,2,1,1,0,BB,Other,Online TA,Direct,0,0,0,A,A,0,Non Refund,2,Transient,16.437917578008367,0,0,Check-Out
City Hotel,0,673,2017,November,42,21,2,4,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,D,0,Non Refund,0,Transient,95.31305638958008,0,0,Check-Out
City Hotel,0,587,2016,August,17,6,3,1,1,0,0,BB,Other,Corporate,TA/TO,0,0,0,A,G,0,No Deposit,1,Transient,148.88545409686316,0,2,Check-Out
City Hotel,1,673,2015,August,27,29,1,4,1,1,0,HB,FRA,Direct,TA/TO,0,0,0,G,A,0,No Deposit,0,Transient,16.725762651715144,0,1,Check-Out
City Hotel,0,155,2015,October,14,18,3,3,1,0,0,BB,ITA,Groups,Direct,0,0,0,G,A,0,No Deposit,2,Transient,110.49793618034683,0,0,Canceled
City Hotel,0,441,2016,January,32,23,1,2,2,0,0,BB,Other,Direct,TA/TO,0,1,0,D,E,1,No Deposit,0,Transient,78.69970984698097,0,0,Canceled
City Hotel,0,311,2016,December,7,22,2,5,2,0,1,SC,PRT,Corporate,TA/TO,0,0,0,A,F,0,No Deposit,0,Transient-Party,43.0857795826753,0,0,Check-Out
City Hotel,0,554,2017,January,7,19,3,11,1,0,0,BB,ITA,Corporate,Corporate,0,0,0,F,A,0,No Deposit,2,Transient,31.991665493704943,0,1,Check-Out
City Hotel,0,349,2016,November,22,29,2,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,2,Non Refund,1,Transient-Party,90.17939020930221,0,1,Check-Out
Resort Hotel,1,724,2015,November,47,10,2,3,1,0,0,HB,FRA,Groups,TA/TO,0,0,0,E,D,1,No Deposit,1,Transient,96.05407595117555,0,1,Check-Out
Resort Hotel,0,655,2016,November,32,24,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,1,Transient,58.29509871801505,0,0,Check-Out
City Hotel,1,151,2016,September,12,31,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,Non Refund,0,Transient-Party,89.98257857104818,0,2,Check-Out
City Hotel,0,39,2017,September,37,12,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,D,0,No Deposit,3,Transient-Party,86.24769804853324,0,1,No-Show
City Hotel,0,628,2016,April,22,19,0,2,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1,Transient,127.9597399637148,0,2,Check-Out
City Hotel,0,384,2015,March,17,12,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,1,Transient,105.8740290653976,0,1,Check-Out
Resort Hotel,0,341,2017,February,26,9,2,1,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,108.42984731589725,0,0,Check-Out
City Hotel,0,69,2017,September,35,17,4,1,2,0,0,BB,ESP,Groups,TA/TO,0,0,1,A,A,1,No Deposit,1,Transient,72.52513766008312,0,0,Check-Out
City Hotel,0,39,2015,January,16,18,1,1,2,0,0,BB,DEU,Direct,TA/TO,0,0,0,G,F,2,No Deposit,1,Transient,132.87155169836808,0,2,Check-Out
City Hotel,0,701,2015,September,1,18,0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,0,Transient,33.54291526082662,1,1,Check-Out
Resort Hotel,0,257,2017,December,20,7,2,4,2,0,0,BB,GBR,Online TA,Direct,0,0,0,D,D,1,No Deposit,1,Transient,100.87845515691349,1,0,Check-Out
City Hotel,0,21,2015,October,49,26,0,3,1,1,0,HB,GBR,Corporate,TA/TO,0,0,0,A,F,0,No Deposit,2,Transient,146.88147505555904,0,0,Check-Out
City Hotel,0,195,2015,November,22,7,2,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,0,Transient,154.296476463592,0,0,Check-Out
City Hotel,0,350,2016,October,2,10,0,0,3,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,117.06086995382226,0,2,Canceled
City Hotel,0,7,2016,January,28,11,1,3,4,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,2,Transient,174.56610449796796,0,0,Canceled
Resort Hotel,1,175,2016,January,51,17,0,1,2,0,0,BB,DEU,Direct,TA/TO,0,0,0,E,A,0,No Deposit,1,Transient-Party,1.2287401163890763,0,0,Check-Out
City Hotel,0,77,2016,October,38,15,1,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,G,F,0,No Deposit,2,Transient,30.64030732179924,0,0,Check-Out
City Hotel,0,148,2016,February,1,8,0,1,2,0,0,BB,PRT,Corporate,GDS,0,0,0,D,C,0,No Deposit,1,Transient,211.21279706665945,0,1,Canceled
City Hotel,0,232,2016,April,13,22,2,5,2,0,1,HB,Other,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,0,Transient,133.43703333739433,0,0,Check-Out
City Hotel,1,237,2016,September,21,28,0,2,4,0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,147.0336421579667,0,2,Check-Out
City Hotel,0,197,2016,February,32,28,2,4,4,0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,0,Group,160.42921973519267,1,0,Check-Out
Resort Hotel,1,578,2015,March,12,26,3,4,1,0,0,SC,GBR,Online TA,TA/TO,0,0,0,F,K,0,No Deposit,1,Transient,78.04708163680257,1,0,Check-Out
City Hotel,1,509,2016,May,21,29,0,5,1,0,0,BB,FRA,Online TA,TA/TO,0,0,1,A,A,1,No Deposit,1,Transient,36.37172761968392,0,0,Check-Out
City Hotel,1,582,2015,December,2,30,3,2,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,1,Transient,161.70880444872702,0,1,Check-Out
Resort Hotel,1,472,2015,September,19,7,0,6,2,0,0,BB,FRA,Direct,TA/TO,0,0,0,G,D,0,No Deposit,1,Transient,121.53232103699624,0,0,Check-Out
Resort Hotel,1,356,2015,March,8,9,1,3,2,1,0,BB,GBR,Offline TA/TO,Direct,0,0,0,G,D,1,No Deposit,1,Transient,136.8842865037757,0,3,Check-Out
Resort Hotel,0,556,2015,July,5,25,1,4,2,0,0,HB,FRA,Online TA,TA/TO,0,0,1,A,A,0,No Deposit,0,Transient,141.15901243807733,0,0,Canceled
City Hotel,0,572,2016,March,25,30,0,0,1,0,0,BB,PRT,Online TA,Corporate,0,0,0,D,A,0,No Deposit,0,Transient-Party,116.05530779341456,0,1,Check-Out
City Hotel,0,313,2015,June,38,25,2,2,1,0,0,BB,GBR,Groups,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,136.26583884095598,0,0,Check-Out
Resort Hotel,1,724,2016,June,15,27,2,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,1,G,A,0,No Deposit,0,Transient,184.26409783307972,0,1,Check-Out
City Hotel,0,308,2015,August,40,21,0,0,2,0,1,FB,PRT,Offline TA/TO,TA/TO,0,2,1,F,A,0,No Deposit,1,Transient,71.30256222544803,0,0,Check-Out
